video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,description
iFItPMcJRDo,18.14.06,No me digas - Episodio 37 - Hábitos:Niño Vs Adulto,Franco Escamilla,23,2018-06-13T13:05:53.000Z,"La|""mesa""|""reñoña""|""Franco""|""Escamilla""|""Comedia""|""Diablo""|""Squad""|""noticias""",51717,2024,94,292,FALSE,FALSE,FALSE,Recuerda descargar la aplicación oficial de Franco EscamillaPara iOS                   https://goo.gl/jXQoeEPara Google Play   https://goo.gl/3T6vvUhttps://www.francoescamillaoficial.comhttps://www.facebook.com/francoescaoficialhttps://twitter.com/franco_esca
UVxE_MM94tA,18.14.06,Trump Met With Kim Jong Un... Now What?,The Late Show with Stephen Colbert,24,2018-06-13T03:55:01.000Z,"The Late Show|""Late Show""|""Stephen Colbert""|""Steven Colbert""|""Colbert""|""celebrity""|""celeb""|""celebrities""|""late night""|""talk show""|""comedian""|""comedy""|""CBS""|""joke""|""jokes""|""funny""|""funny video""|""funny videos""|""humor""|""hollywood""|""famous""|""Intro Monologue""|""Politics""|""Nonrecurring""|""Topical""",1582738,19856,1957,4009,FALSE,FALSE,FALSE,"Donald Trump sees a bright future for Kim Jong-un and North Korea... in hotel real estate.Subscribe To The Late Show Channel HERE: http://bit.ly/ColbertYouTubeFor more content from The Late Show with Stephen Colbert, click HERE: http://bit.ly/1AKISnRWatch full episodes of The Late Show HERE: http://bit.ly/1Puei40Like The Late Show on Facebook HERE: http://on.fb.me/1df139YFollow The Late Show on Twitter HERE: http://bit.ly/1dMzZzGFollow The Late Show on Google+ HERE: http://bit.ly/1JlGgzwFollow The Late Show on Instagram HERE: http://bit.ly/29wfREjFollow The Late Show on Tumblr HERE: http://bit.ly/29DVvtRWatch The Late Show with Stephen Colbert weeknights at 11:35 PM ET/10:35 PM CT. Only on CBS.Get the CBS app for iPhone & iPad! Click HERE: http://bit.ly/12rLxgeGet new episodes of shows you love across devices the next day, stream live TV, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---The Late Show with Stephen Colbert is the premier late night talk show on CBS, airing at 11:35pm EST, streaming online via CBS All Access, and delivered to the International Space Station on a USB drive taped to a weather balloon. Every night, viewers can expect: Comedy, humor, funny moments, witty interviews, celebrities, famous people, movie stars, bits, humorous celebrities doing bits, funny celebs, big group photos of every star from Hollywood, even the reclusive ones, plus also jokes."
UTN0tWrYGrw,18.14.06,CMLL INFORMA 13 DE JUNIO  DE 2018,VideosOficialesCMLL,17,2018-06-13T23:57:44.000Z,"CMLL|""ARENA MEXICO""|""LUCHA LIBRE""|""CMLL INFORMA""",31581,453,25,44,FALSE,FALSE,FALSE,LA VOZ OFICIAL DEL CONSEJO MUNDIAL DE LUCHA LIBREPRESENTA:LAS NUEVAS DIOSAS DEL RING;  ADEMAS AMAPOLA - DALYS - SEDUCTORA - REYNA ISIS; CAMPEONES NACIONALES DE TRIOS; PRESENTACION DE CIBERNETICO; REGRESO DE DRAGON LEE
F-oNmO2diVE,18.14.06,AMLO HUMILLÓ A ANAYA Y A MEADE [TERCER DEBATE],ORJuanAlejandro - YouTube,24,2018-06-13T05:49:18.000Z,"Tercer debate|""AMLO""|""ANAYA""|""MEADE""|""BRONCO""|""2018""|""INE""|""PRESIDENCIAL""|""LÓPEZ OBRADOR""",26385,414,18,71,FALSE,FALSE,FALSE,"AMLO en pocos segundos, destrozó a los candidatos Anaya y Meade.Suscríbete al canal."
hQ5StXdNWhg,18.14.06,ORACION DE LA MAÑANA PARA TENER EXITO Y PROSPERIDAD EN TODO LO QUE EMPRENDAS  - ORACION CON LETRA,En las Manos del Maestro,22,2018-06-13T11:32:04.000Z,"Reflexiones cristianas|""reflexiones de la vida""|""Oración de la mañana""|""oración para comenzar el dia""|""oracion para empezar el dia""|""oracion para iniciar el día""|""oración de madrugada""|""oracion de poder para empezar el dia""|""oración de prosperidad""|""oracion para pedirle a Dios""|""Oraciones Catolicas""|""oraciones cristianas""|""oracion de la manana""|""oracion para comenzar el día""|""oración para empezar tu dia""|""oración para encomendar el dia a Dios""",47842,3760,69,320,FALSE,FALSE,FALSE,"Haz esta oración en la mañana al iniciar el día para que tengas un día lleno de la prosperidad y el éxito de Dios en tu vida. A veces se entiende prosperidad únicamente como tranquilidad económica y buenas cifras bancarias. claro, es importante poder cubrir las necesidades básicas y gozar de una sana economía, pero allí no radican la alegría y la abundancia. De nada vale tener muchas posesiones si estamos enfermos, por ejemplo, o si tenemos mala relación con las personas que nos rodean. Para mí, la prosperidad verdadera es la realización integral del ser humano. Es tener la capacidad de disfrutar la vida plenamente y sentir que todas las áreas de la vida están en armonía y fluyendo. Ser prósperos es saber que estamos logrando los objetivos que nos hemos planteado, gozar de relaciones buenas y constructivas, trascender nuestras limitaciones y hacer buen uso de nuestras destrezas y fortalezas. En esta oración pídele a Dios por ese tipo de prosperidad integral: salud, bendiciones, posibilidades financieras, buenas relaciones familiares y todo lo que un ser humano requiere para sentirse contento. No son palabras mágicas que hagan que las oportunidades caigan del cielo, pero sí actúan como medio para que Dios te dé la fuerza en el corazón y la claridad mental para tomar buenas decisiones, firmeza en el pulso para que el timón de la vida no se tuerza y compasión para encontrar soluciones consensuadas en tus relaciones. Estoy seguro que esta reflexión y oración  te ayudarán a sentirte mejor, te impulsarán en tus batallas y te abrirán caminos que te realicen como un buen ser humano y un mejor creyente. Ponle  la mejor actitud a la vida y verás que pronto conectarás con el poder de Dios en tu corazón y empezarás a ver la vida de forma más optimista. Suplica la ayuda de Dios y muéstrate dispuesto a dar lo mejor de ti para alcanzar las metas soñadas. Dios está contigo y quiere que seas próspero. No olvides que de todo salimos vencedores por aquel que nos amó (Romanos 8,37 y que Dios siempre pelea en tu favor (Exodo 14,14)  ="
NOcJ6L6cFyo,18.14.06,Best ★ GOLDEN BUZZERS ★ 2018 | America's Got Talent 2018 | Britain's Got Talent 2018,MusicTalentNow,24,2018-06-13T20:27:35.000Z,"Best GOLDEN BUZZERS 2018|""golden buzzer 2018""|""golden buzzers 2018""|""golden buzzers on america's got talent""|""golden buzzers on america's got talent 2018""|""golden buzzers singers""|""golden buzzers agt""|""golden buzzer americas got talent 2018""|""best golden buzzers""|""golden buzzers 2018 agt""|""golden buzzers 2018 bgt""|""golden buzzers 2018 america""|""golden buzzers 2018 britain's got talent""|""america's got talent 2018""|""america's got talent""|""britain's got talent 2018""|""britain's got talent""",114264,1430,93,119,FALSE,FALSE,FALSE,► CLICK HERE to Learn How To SingTips To Improve Your Singing Voice ► http://MusicTalentNow.com/Learn-To-Sing ◄♥  Please Follow Me On Twitter ♥ http://bit.ly/Twitter_MusicTalentNow ♥ Love You ♥Best GOLDEN BUZZERS 2018 | America's Got Talent 2018 | Britain's Got Talent 2018
e1OaQtzSoDw,18.14.06,Sin Senos Si Hay Paraíso 3 | Capítulo 1 | Telemundo,Telemundo,24,2018-06-13T06:23:03.000Z,"Sin Senos Sí Hay Paraíso 3|""Primer Capítulo""|""Capítulo 1""|""Telemundo""|""Carmen Villalobos""|""Fabián Ríos""|""Catherine Siachoque""|""Majida Issa""|""Carolina Gaitán""|""Johanna Fadul""|""Gregorio Pernía""|""Juan Pablo Urrego.""|""Capítulo 1: Catalina gana el reinado""|""Telemundo Novelas""|""Telemundo English""|""sin senos sí hay paraíso""|""fabián rios""|""fabian rios""|""sin senos no hay paraiso""|""majida issa .""|""capitulos completos""|""juan pablo urrego""|""juan pablo llano""",501195,4349,324,179,FALSE,FALSE,FALSE,"Full Episode:http://www.telemundo.com/series-y-novelas/2018/06/12/sin-senos-si-hay-paraiso-3-capitulo-1-catalina-gana-el-reinadoVideo oficial de Telemundo Sin Senos Si Hay Paraíso 3. Al ser derrotada, Daniela no soporta que su enemiga, sea la más bella de la región. Estalla de furia y termina cortándose las venas.SUBSCRIBETE: http://bit.ly/1DDw9DRSin Senos Si Hay Paraíso 2Catalina La Grande, a quien todos daban por muerta, regresó. Apoyada por agentes encubiertos, consiguio capturar y extraditar a La Diabla a los Estados Unidos. Pero La Diabla logra evadir las autoridades y huye a Colombia. Una vez amigas inseparables, ahora, Catalina y La Diabla se enfrentan como enemigas mortales. SUBSCRIBETE: http://bit.ly/11evqY8TelemundoEs una división de Empresas y Contenido Hispano de NBCUniversal, liderando la industria en la producción y distribución de contenido en español de alta calidad a través de múltiples plataformas para los hispanos en los EEUU y a audiencias alrededor del mundo. Ofrece producciones originales, películas de cine, noticias y eventos deportivos de primera categoría y es el proveedor de contenido en español número dos mundialmente sindicando contenido a más de 100 países en más de 35 idiomas.FOLLOW US IN TWITTER: http://bit.ly/1vl4zqpLIKE US IN FACEBOOK: http://on.fb.me/1EWlDolGOOGLE+: http://bit.ly/1xR1rlISin Senos Si Hay Paraíso 3 | Capítulo 1 | Telemundowww.youtube.com/user/telemundotv"
KYIjukRelb8,18.14.06,"🔴🔴FAMOSA ESTA HARTA DE TELEVISA Y COQUETEA CON AZTECA,  ENTREVISTA CON ACTOR DE TELENOVELAS🔴🔴",Alejandro Zúñiga EN VIVO,24,2018-06-13T22:53:18.000Z,[none],13236,215,45,51,FALSE,FALSE,FALSE,1   Hablemos del comentarista deportivo 2    El Coque 3    Rumores del Programa Hoy 4    El final de la serie sera impactante  5    Kate del Castillo y Luis Miguel s6    Paulina y Thalia 7    Lucero y Maxine Woodside r8    Rebeca Jones  9    Marjorie de Sousa 10   Víctor Trujillo 11   Consuelo Duval 12   Porque Televisa anuncia novela de Azteca 13   Cantante nos presenta a su hija 14   Entrevista con Juan Vidal 15   Ya se saben los jueces de Reality Show16   Lupillo Rivera17   Paulina con super show18   Reclaman audiencias19    Conductora sigue viajando20    Programa de Televisa será copia de un programa argentino 21    Entrevista con Juan Vidal hablando Parte 2 22    Quieren regresar Vida TV  23   Se confirma noviazgo de  famosos24  Famosa de Televisa coquetea con Azteca
ohO_3RcXc_M,18.14.06,Boda Sin Travesti 😩🏃‍♂️👯 | Caso Cerrado | Telemundo,Caso Cerrado,24,2018-06-12T23:00:02.000Z,"Telemundo|""doctora ana maria polo""|""batallas legales""|""programas completos""|""caso cerrado""|""Boda Sin Travesti""|""caso cerrado capitulos completos""|""caso cerrado nuevos capitulos completos""|""dra. polo""|""caso cerrado chistosos""|""ana maría polo""|""caso cerrado estelar""|""caso cerrado controversial""|""caso serrado""|""lo mejor de caso cerrado""|""caso cerrado completo""|""full episode""|""jueza polo""|""doctora polo""|""caso cerrado (tv program)""|""drama familiar""|""caso cerrado familia""|""dra. ana maria polo""",185263,1515,219,364,FALSE,FALSE,FALSE,"Video oficial del controvertido programa de Telemundo Caso Cerrado. Santiago le exige a su esposa Adriana que su suegro se vista como hombre para asistir a la boda. Ella alega que su padre siempre fue travesti y así lo quiere en la boda.Boda Sin Travesti | Caso Cerrado | TelemundoPara ver los capítulos completos visita: http://www.telemundo.com/CasoCerradoFacebook: http://www.facebook.com/casocerradotelemundoTwitter: http://twitter.com/#!/CasoCerradoTVSUBSCRIBETE: http://bit.ly/1DDw9DRCaso Cerrado:Caso Cerrado es conducido por la querida Doctora en leyes Cubana-Americana Ana María Polo. Este programa presenta casos conflictivos y conmovedores entre participantes en litigio, vas a sentirte identificado, querrás tomar partido y ser testigo de la solución y decisión basadas en la verdad y en las evidencias.SUBSCRIBETE: http://bit.ly/11evqY8TelemundoEs una división de Empresas y Contenido Hispano de NBCUniversal, liderando la industria en la producción y distribución de contenido en español de alta calidad a través de múltiples plataformas para los hispanos en los EEUU y a audiencias alrededor del mundo. Ofrece producciones originales, películas de cine, noticias y eventos deportivos de primera categoría y es el proveedor de contenido en español número dos mundialmente sindicando contenido a más de 100 países en más de 35 idiomas.SIGUENOS EN TWITTER: http://bit.ly/1vl4zqpDANOS LIKE EN FACEBOOK: http://on.fb.me/1EWlDolGOOGLE+: http://bit.ly/1xR1rlIBoda Sin Travesti 😩🏃‍♂️👯 | Caso Cerrado | Telemundo"
cHlzOeiJJQQ,18.14.06,أقوى مشاهد قيادة تحبس الأنفاس صورتها عدسات الكاميرا ! أكثر طرق صعوبة في العالم !!,BLA BLA,27,2018-05-31T10:00:09.000Z,[none],4829416,20084,4796,1221,FALSE,FALSE,FALSE,أقوى مشاهد قيادة تحبس الأنفاس صورتها عدسات الكاميرا أكثر طرق صعوبة في العالماشترك في القناة ليصلك كل جديد : https://goo.gl/FNJ8Bcصفحة القناة على الفايسبوك:   https://goo.gl/4JptdF----------------------------music by :Kevin MacLeod incompetech.com
r63VBOagGAo,18.14.06,Shawn Mendes x Portugal (FPF Official World Cup Song),FPFutebolOficial,17,2018-06-13T13:11:56.000Z,"Canal|""Oficial""|""da""|""Federação""|""Portuguesa""|""de""|""Futebol""|""Seleção""|""shawn mendes""|""portugal""|""cristiano ronaldo""|""in my blood""|""world cup""|""fifa""|""euro""|""official song""|""universal""|""music""|""romantic""|""playlist""|""summer 2018 playlist""|""world cup 18""|""uefa""|""champions league""|""ronaldo""|""quaresma""|""pepe""|""bernardo silva""|""joao mario""|""rui patricio""|""fernando santos""|""fpf""",653114,65639,547,3826,FALSE,FALSE,FALSE,"Portugal's Football Team Official SongLyrics: Help meIt’s like the walls are caving inSometimes I feel like giving upBut I just can’tIt isn’t in my bloodLaying on the bathroom floorFeeling nothingOverwhelmed and insecureGive me somethingI can take to ease my mind, slowly..É um sonho que trago comigo Se acreditares sonho contigoKeep telling me that it gets betterDoes it ever?Help meIt’s like the walls are caving inSometimes I feel like giving upNo medicine is strong enoughSomeone help meI’m crawling in my skinSometimes I feel like giving upBut I just can’tIt isn’t in my bloodEu vou acreditar! Looking through my phone againFeeling anxiousAfraid to be alone againI hate thisTrying to find a way to chillCan’t breathe, noIs there somebody who can help meIt’s like the walls are caving in Sometimes I feel like giving upNo medicine is strong enoughSomeone help meI’m crawling in my skinSometimes I feel like giving upBut I just can’tIt isn’t in my bloodEu vou acreditar!  Que vamos conseguir Que vamos conquistar Nós somos Portugal Uma só voz E um coração! Help meIt’s like the walls are caving inSometimes I feel like giving upBut I just can’tIt isn’t in my bloodEu vou acreditar! It isn’t in my bloodQue vamos conquistar Nós somos Portugal Uma só voz E um coração! It isn’t in my blood--WWW.CONQUISTAOSONHO.COMNo relvado, na tua vida, sonha em grande. #ConquistaOSonhoConhece toda a experiência em www.conquistaosonho.comOn the pitch, in your life, dream big. #ConquerYourDreamFind out more at www.conqueryourdream.net--Facebook: https://www.facebook.com/PORTUGAL/Instagram: https://www.instagram.com/portugal/Twitter: https://twitter.com/selecaoportugalT-shirts Collection: https://bit.ly/2JuGETdPortugal Official Kits: https://portugalstore.fpf.pt/pt--"
i7r_kMbyngk,18.14.06,AMLO llegó con su esposa al Tercer Debate en Mérida,AMX,25,2018-06-13T01:15:08.000Z,"AMLO|""morena""|""política""|""PRI""|""PAN""|""PRD""|""López Obrador""",121674,3558,58,491,FALSE,FALSE,FALSE,AMLO llegó con su esposa al Tercer Debate en MéridaFacebook: https://www.facebook.com/NoticiaMx/ Twitter: https://twitter.com/saotikomxhttp://www.noticiamx.com/
_jnwjdMe3Zo,18.14.06,Maire usa una blusa kawaiii ¿adorable o ridícula?,Historias Wink,24,2018-06-13T15:08:53.000Z,"maire|""maire vs el internet""|""maire vs internet""|""maire wink""|""maire_wink""|""kawaii""|""alice in wonderland""|""ropa de disney""|""Alicia en el país de las maravillas""|""tercer debate""|""debate presidencial""",14067,538,6,90,FALSE,FALSE,FALSE,"Maire usa una blusa kawaii de Alicia en el país de las maravillas, pregunta a sus bebés si se ve adorable o ridícula. Escenas del debate."
pAH9omNAWA4,18.14.06,La Jefa del Campeón - Capítulo 2 Parte 3/4,Tele Time,22,2018-06-13T02:22:33.000Z,[none],22898,94,11,3,FALSE,FALSE,FALSE,
